epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72161,1.23796,3.88789,1.75389,0.00539,1,0.31022,0.16081,1.09879,4.57676,2.15334,7.14e-06,7.14e-06,7.14e-06
2,14.9414,1.24882,3.90866,1.7797,0.00526,1,0.25858,0.11787,1.05764,4.59162,2.06543,2.09959e-05,2.09959e-05,2.09959e-05
3,22.1152,1.20506,3.87799,1.70797,0.00515,1,0.2233,0.10714,1.01389,4.64849,2.00841,3.42863e-05,3.42863e-05,3.42863e-05
4,29.3557,0.96248,3.84081,1.52783,0.00526,1,0.2227,0.10971,0.88326,4.63769,1.88005,4.70112e-05,4.70112e-05,4.70112e-05
5,36.3057,1.00339,3.85766,1.55722,0.00538,1,0.27,0.14425,0.92545,4.50606,1.80938,5.91706e-05,5.91706e-05,5.91706e-05
6,43.3014,0.75979,3.5836,1.28918,0.00547,1,0.18958,0.13028,0.78517,4.4972,1.63957,7.07645e-05,7.07645e-05,7.07645e-05
7,50.1952,1.02137,3.73023,1.55455,0.00573,1,0.28114,0.19,0.82064,4.46792,1.65072,8.1793e-05,8.1793e-05,8.1793e-05
8,57.1551,0.93964,3.71062,1.46489,0.00612,1,0.28364,0.19864,0.87895,4.55829,1.71091,9.22559e-05,9.22559e-05,9.22559e-05
9,64.1752,0.8567,3.67961,1.3668,0.00622,1,0.42736,0.20578,0.90221,4.53946,1.72194,0.000102153,0.000102153,0.000102153
10,71.3475,0.97906,3.72719,1.5362,0.00638,1,0.41471,0.19555,0.92559,4.54219,1.76225,0.000111485,0.000111485,0.000111485
11,78.3827,0.91087,3.58755,1.45875,0.00628,1,0.41004,0.20312,0.93445,4.49011,1.74947,0.000120252,0.000120252,0.000120252
12,85.3344,0.77643,3.47533,1.37421,0.00628,1,0.40954,0.21341,0.89903,4.45919,1.71068,0.000128453,0.000128453,0.000128453
13,92.465,0.78519,3.57387,1.41438,0.00626,1,0.39404,0.2217,0.87799,4.38117,1.65682,0.000136088,0.000136088,0.000136088
14,99.8224,0.86217,3.42161,1.41848,0.0063,1,0.40756,0.22662,0.8292,4.39777,1.58606,0.000143158,0.000143158,0.000143158
15,106.88,0.60599,3.32131,1.22895,0.00632,1,0.3496,0.2464,0.75785,4.36728,1.50939,0.000149663,0.000149663,0.000149663
16,114.25,0.70552,3.2267,1.31111,0.00632,1,0.35434,0.25775,0.75405,4.33826,1.49869,0.000155602,0.000155602,0.000155602
17,121.769,0.79193,3.38465,1.35458,0.00602,1,0.3672,0.25059,0.79587,4.31318,1.52734,0.000160976,0.000160976,0.000160976
18,128.893,0.80081,3.37683,1.35572,0.00616,1,0.37228,0.24818,0.8237,4.31801,1.59818,0.000165784,0.000165784,0.000165784
19,135.834,0.7007,3.10655,1.23529,0.00613,1,0.49547,0.28494,0.85848,4.29429,1.69976,0.000170026,0.000170026,0.000170026
20,143.366,0.72977,3.15557,1.33676,0.00617,1,0.49073,0.27291,0.88192,4.24111,1.78773,0.000173703,0.000173703,0.000173703
21,150.397,0.79054,3.0283,1.33325,0.00634,1,0.46704,0.27827,0.87839,4.20864,1.82685,0.000176815,0.000176815,0.000176815
22,157.444,0.84347,3.02055,1.35825,0.00646,1,0.54742,0.3583,0.88147,4.18563,1.84828,0.000179361,0.000179361,0.000179361
23,164.507,0.67726,2.87996,1.2801,0.00646,1,0.54172,0.37095,0.85366,4.17565,1.83573,0.000181342,0.000181342,0.000181342
24,171.564,0.86545,2.92829,1.38832,0.00635,1,0.56541,0.3708,0.8909,4.15684,1.79287,0.000182757,0.000182757,0.000182757
25,178.641,0.67556,2.91044,1.29123,0.00625,1,0.60648,0.3895,0.90511,4.127,1.77076,0.000183607,0.000183607,0.000183607
26,185.711,0.81891,2.97849,1.34692,0.00605,1,0.60411,0.39155,0.89094,4.08029,1.68202,0.000183891,0.000183891,0.000183891
27,192.725,0.76721,2.85623,1.36827,0.00595,1,0.60411,0.38906,0.85734,4.05841,1.63614,0.000183609,0.000183609,0.000183609
28,199.74,0.85099,2.92896,1.35215,0.00595,1,0.60411,0.38906,0.85734,4.05841,1.63614,0.000182763,0.000182763,0.000182763
29,207.06,0.77962,2.79859,1.39847,0.00586,1,0.61832,0.39481,0.83711,4.0898,1.62949,0.00018135,0.00018135,0.00018135
30,214.315,0.73602,2.9518,1.34429,0.00584,1,0.6199,0.37081,0.86795,4.07148,1.65937,0.000179373,0.000179373,0.000179373
31,221.379,0.84012,2.76595,1.32119,0.00584,1,0.6199,0.37081,0.86795,4.07148,1.65937,0.000176829,0.000176829,0.000176829
32,228.533,0.84902,2.73637,1.45614,0.0059,1,0.69097,0.43628,0.86725,4.07013,1.67562,0.00017372,0.00017372,0.00017372
33,235.837,0.72299,2.45401,1.26053,0.00588,1,0.62188,0.38112,0.90928,4.05149,1.73166,0.000170046,0.000170046,0.000170046
34,243.124,0.83025,2.6326,1.30186,0.00588,1,0.62188,0.38112,0.90928,4.05149,1.73166,0.000165807,0.000165807,0.000165807
35,250.211,0.78261,2.60745,1.28653,0.00586,1,0.62188,0.38914,0.90962,3.99795,1.75598,0.000161001,0.000161001,0.000161001
36,257.225,0.78778,2.6379,1.3257,0.00563,1,0.62188,0.41059,0.96956,3.96921,1.80614,0.000155631,0.000155631,0.000155631
37,264.526,0.69487,2.36986,1.28572,0.00563,1,0.62188,0.41059,0.96956,3.96921,1.80614,0.000149694,0.000149694,0.000149694
38,271.464,0.72778,2.47533,1.29793,0.00551,1,0.62241,0.42271,1.01116,3.98686,1.85105,0.000143193,0.000143193,0.000143193
39,278.718,0.58872,2.33164,1.18657,0.255,0.8504,0.55134,0.36833,1.0035,3.98801,1.81659,0.000136126,0.000136126,0.000136126
40,285.437,0.76049,2.41086,1.45434,0.255,0.8504,0.55134,0.36833,1.0035,3.98801,1.81659,0.000128493,0.000128493,0.000128493
41,292.286,0.7269,2.71408,1.47549,0.55875,0.26188,0.60004,0.37536,1.01632,3.94724,1.82147,0.000120295,0.000120295,0.000120295
42,299.015,0.68748,2.6677,1.36363,0.80849,0.14286,0.61583,0.36412,1.04451,3.92062,1.80321,0.000111531,0.000111531,0.000111531
43,305.723,0.60408,2.56362,1.32695,0.80849,0.14286,0.61583,0.36412,1.04451,3.92062,1.80321,0.000102202,0.000102202,0.000102202
44,312.43,0.66909,2.6216,1.42672,0.72208,0.28074,0.69164,0.3953,1.06876,3.85353,1.83462,9.23073e-05,9.23073e-05,9.23073e-05
45,319.236,0.5064,2.42587,1.15105,0.72208,0.28074,0.69164,0.3953,1.06876,3.85353,1.83462,8.18472e-05,8.18472e-05,8.18472e-05
46,326.028,0.50589,2.43469,1.18877,0.48593,0.42857,0.62057,0.36367,1.08094,3.82633,1.88836,7.08217e-05,7.08217e-05,7.08217e-05
47,332.747,0.48822,2.30406,1.1366,0.48593,0.42857,0.62057,0.36367,1.08094,3.82633,1.88836,5.92306e-05,5.92306e-05,5.92306e-05
48,339.496,0.49876,2.28885,1.15275,0.47269,0.42857,0.62057,0.36829,1.09211,3.77079,1.9224,4.7074e-05,4.7074e-05,4.7074e-05
49,346.202,0.67014,2.58087,1.47283,0.47269,0.42857,0.62057,0.36829,1.09211,3.77079,1.9224,3.4352e-05,3.4352e-05,3.4352e-05
50,352.938,0.48664,2.47416,1.26385,0.46424,0.42857,0.62057,0.37314,1.1018,3.75518,1.92062,2.10644e-05,2.10644e-05,2.10644e-05
